producto_100002;"Apple - Macbook Air 13.3"" Laptop - Intel Core i3 - Memoria 8GB - SSD 128GB";macbook-air;;fin
producto_100003;"Apple - Macbook Air 13.3"" Laptop - Intel Core i5 - Memoria 8GB - SSD 256GB";macbook-air;;fin
producto_100005;Apple - Macbook Pro 13 Laptop - Intel Core i5 - Memoria 8GB - SSD 256GB;macbook-pro2019-13;;fin
producto_100006;Apple - Macbook Pro 13 Laptop - Intel Core i5 - Memoria 8GB - SSD 256GB;macbook-pro2020-13;;fin
;;;;fin
producto_100195;"Dell - Inspiron 15,6"" Laptop - Intel Celeron - Memoria 4Gb - HD 500GB";dell-i3582;;fin
producto_100194;"Dell - Vostro 14"" Laptop - Intel Core i3 - Memoria 4Gb - HD 1TB";dell-v3490;;fin
producto_100196;"Dell - Inspiron 14"" Laptop - Intel Core i3 - Memoria 4Gb - SSD 128GB";dell-i3493;;fin
producto_100007;"Dell - Inspiron 14"" Laptop - Intel Core i3 - Memoria 4GB - HD 1TB";dell-i3493s;;fin
producto_100008;"Dell - Inspiron 14"" Laptop - Intel Core i5 - Memoria 4GB - SSD 128GB";dell-i3493;;fin
producto_100009;"Dell - Inspiron 14"" Laptop - Intel Core i5 - Memoria 12Gb - HD 1TB + SSD 128Gb";dell-i3493;;fin
producto_100010;"Dell - Inspiron 14"" Laptop - Intel Core i5 - Memoria 8Gb - SSD 256Gb";dell-i3493s;;fin
producto_100222;"Dell - Inspiron 15,6"" Laptop - Intel Core i5 - Memoria 8Gb - SSD 512Gb";dell-i3593b;;fin
producto_100011;"Dell - Vostro 15,6"" Laptop - Intel Core i5 - Memoria 4Gb - HD 1TB - Video AMD 2GB";dell-v3590;;fin
producto_100015;"Dell - Inspiron 15,6"" Laptop - Intel Core i7 - Memoria 8Gb - SSD 256GB - Video MX 4GB";dell-i5593;;fin
producto_100225;"Dell - Inspiron 15,6"" Laptop - Intel Core i7 - Memoria 16Gb - SSD 240GB - HD 1TB - Video MX 4GB";dell-i3593s;;fin
producto_100016;"Dell - G3 15,6"" Gaming Laptop - Intel Core i7 - Memoria 8Gb - HD 1TB + SSD 128GB - Video GTX 6GB";dell-g3;;fin
producto_100017;"Dell - G3 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video GTX 6GB";dell-g3;;fin
producto_100020;"Dell - G5 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video RTX 6GB";dell-g5;;fin
producto_100022;"Dell - G7 17,3"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB + SSD 256GB - Video RTX 6GB";dell-g7;;fin
producto_100018;"Alienware - 15,6"" Gaming Laptop - Intel Core i9 - Memoria 16Gb - SSD 512GB - Video GTX 8GB";alienware-15r4;;fin
producto_100226;"Alienware - 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video RTX 6GB";alienware-m15r2;;fin
;;;;fin
producto_100220;"Lenovo - Ideapad 14"" Laptop - Intel Celeron - Memoria 4Gb - HD 1TB";lenovo-s145b-14;;fin
producto_100198;"Lenovo - Ideapad 15,6"" Laptop - Intel Celeron - Memoria 4Gb - HD 1TB";lenovo-330;;fin
producto_100221;"Lenovo - Ideapad 15,6"" Laptop - Intel Core i3 - Memoria 8Gb - SSD 256GB";lenovo-3;;fin
producto_100197;"Lenovo - Ideapad 15,6"" Laptop - Intel Core i3 - Memoria 8Gb - SSD 256GB";lenovo-v15;;fin
producto_100223;"Lenovo - Ideapad 14"" Laptop - Intel Core i5 - Memoria 4Gb - HD 1TB";lenovo-s145-14;;fin
producto_100224;"Lenovo - Ideapad 15,6"" Laptop - Intel Core i5 - Memoria 4Gb - HD 1TB";lenovo-s145-15;;fin
producto_100193;"Lenovo - Ideapad 13,3"" Laptop - Intel Core i5 - Memoria 8Gb - SSD 256GB";lenovo-s340-13;;fin
producto_100028;"Lenovo - Ideapad 15,6"" Laptop - Intel Core i5 - Memoria 8Gb - HD 1TB - VIDEO MX 2GB";lenovo-s340;;fin
producto_100030;"Lenovo - Ideapad 14"" Laptop - Intel Core i7 - Memoria 8Gb - HD 1TB";lenovo-s145-14;;fin
producto_100031;"Lenovo - Ideapad 15,6"" Laptop - Intel Core i7 - Memoria 8Gb - HD 1TB";lenovo-s145-15;;fin
producto_100233;"Lenovo - Yoga 14"" 2-in-1 Touch Laptop - Intel Core i5 - Memoria 8Gb - SSD 256GB";lenovo-c740;;fin
producto_100036;"Lenovo - Legion 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB + SSD 512GB - Video GTX 6GB";lenovo-y545;;fin
producto_100234;"Lenovo - Legion 15,6"" Gaming Laptop - Intel Core i7 - Memoria 8Gb - SSD 512GB - Video GTX 6GB";lenovo-5;;fin
producto_100038;"Lenovo - Legion 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video RTX 6GB";lenovo-y740;;fin
producto_100064;AIO - Celeron;lenovo-a340;;fin
producto_100065;AIO - i3;lenovo-a340;;fin
producto_100066;AIO - i5;lenovo-a340;;fin
producto_100067;AIO - i7;lenovo-a540;;fin
;;;;fin
producto_100039;"Asus - VivoBook 15,6"" Laptop - Intel Celeron - Memoria 4Gb - HD 1TB";asus-x543;;fin
producto_100043;"Asus - VivoBook 15,6"" Laptop - Intel Core i5 - Memoria 4Gb - SSD 512GB - Video MX 2GB";asus-x509;;fin
producto_100044;"Asus - VivoBook 15,6"" Laptop - Intel Core i7 - Memoria 12Gb - SSD 256GB";asus-x512;;fin
