producto_100221;"Lenovo - Ideapad 3 15,6"" Laptop - Intel Core i3 - Memoria 8Gb - SSD 256GB";lenovo-3;
producto_100260;"Lenovo - Ideapad 3 17"" Laptop - AMD Ryzen 7 - Memoria 12Gb - HD 1TB - SSD 128GB";lenovo-3;
producto_100266;"Lenovo - Ideapad S145 15,6"" Laptop - Intel Core i3 - Memoria 4Gb - SSD 128GB";lenovo-s145;
producto_100234;"Lenovo - Legion 5 15,6"" Gaming Laptop - Intel Core i7 - Memoria 8Gb - SSD 512GB - Video GTX 6GB";lenovo-5;
producto_100261;"Lenovo - ThinkPad 14"" Laptop - Intel Core i5 - Memoria 4Gb - HD 1TB";lenovo-e14;
producto_100257;"Lenovo - ThinkPad 15,6"" Laptop - Intel Core i5 - Memoria 4Gb - HD 1TB";lenovo-e15;
producto_100233;"Lenovo - Yoga 14"" 2-in-1 Touch Laptop - Intel Core i5 - Memoria 8Gb - SSD 256GB";lenovo-c740;
producto_100055;"MSI - GF65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 8Gb - SSD 512GB - Video GTX 6GB";msi-gf65;
producto_100056;"MSI - GF65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 8Gb - SSD 512GB - Video RTX 6GB";msi-gf65;
producto_100229;"MSI - GF75 17,3"" Gaming Laptop - Intel Core i5 - Memoria 8Gb - SSD 512GB - Video GTX 4GB";msi-gf65;
producto_100057;"MSI - GL65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB - SSD 512GB - Video RTX 6GB";msi-gl65;
producto_100228;"MSI - GL65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video RTX 8GB";msi-gl65;
producto_100259;"MSI - GL75 17,3"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB - SSD 256GB - Video GTX 6GB";msi-gl75;
producto_100058;"MSI - GL75 17,3"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB - SSD 256GB - Video RTX 6GB";msi-gl75;
producto_100243;"MSI - GL75 17,3"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - HD 1TB - SSD 512GB - Video RTX 8GB";msi-gl75;
producto_100227;"MSI - GP65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 16Gb - SSD 512GB - Video GTX 6GB";msi-gp65;
producto_100059;"MSI - GS65 15,6"" Gaming Laptop - Intel Core i7 - Memoria 32Gb - SSD 512GB - Video RTX 6GB";msi-gs65;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
producto_100120;Apple - iPhone 8+ 128;iphone-8+;ne-pl-do-
producto_100122;Apple - iPhone 11 64Gb;iphone-11;ne-bl-ro-ve-li-az-am-
producto_100123;Apple - iPhone 11 128Gb;iphone-11;ne-bl-ro-ve-li-az-am-
producto_100124;Apple - iPhone 11 Pro 64GB;iphone-11pro;ne-pl-do-ve-
producto_100125;Apple - iPhone 11 Pro 256GB;iphone-11pro;ne-pl-do-ve-
producto_100126;Apple - iPhone 11 Pro Max 64GB;iphone-11promax;ne-pl-do-ve-
producto_100127;Apple - iPhone 11 Pro Max 256GB;iphone-11promax;ne-pl-do-ve-
producto_100200;Apple - iPhone SE 2 64GB;iphone-se2;ne-bl-ro-
producto_100201;Apple - iPhone SE 2 128GB;iphone-se2;ne-bl-ro-
;;;
producto_100129;Samsung - Galaxy A01 16GB;samsung-a01;ne-az-ro-
producto_100202;Samsung - Galaxy A01 32GB;samsung-a01;ne-az-ro-
producto_100130;Samsung - Galaxy A10s;samsung-a10s;ne-az-ro-
producto_100203;Samsung - Galaxy A11 32GB;samsung-a11;ne-bl-az-ro-
producto_100131;Samsung - Galaxy A20s;samsung-a20s;ne-az-ro-
producto_100204;Samsung - Galaxy A21s 32GB;samsung-a21s;ne-bl-az-ro-
producto_100218;Samsung - Galaxy A21s 64GB;samsung-a21s;ne-bl-az-ro-
producto_100205;Samsung - Galaxy A31 64GB;samsung-a31;ne-bl-az-ro-
producto_100206;Samsung - Galaxy A31 128GB;samsung-a31;ne-bl-az-ro-
producto_100133;Samsung - Galaxy A51;samsung-a51;ne-bl-az-
producto_100135;Samsung - Galaxy A71;samsung-a71;ne-bl-az-
producto_100138;Samsung - Galaxy Note10+;samsung-note10+;
producto_100139;Samsung - Galaxy s20;samsung-s20;
producto_100140;Samsung - Galaxy s20+;samsung-s20+;
producto_100141;Samsung - Galaxy s20 Ultra;samsung-s20ultra;
;;;
producto_100199;Huawei - Y5 2019 32GB;huawei-y52019;ne-az-
producto_100143;Huawei - Y6 2019;huawei-y62019;ne-az-
producto_100145;Huawei - Y9 Prime 64GB;huawei-y9p;ne-az-ve-
producto_100208;Huawei - Y9 Prime 128GB;huawei-y9p;ne-az-ve-
producto_100207;Huawei - Y9s 128GB;huawei-y9s;ne-az-
producto_100146;Huawei - P30 Lite 128GB;huawei-p30lite;ne-bl-az-
producto_100209;Huawei - P40 Lite 128GB;huawei-p40lite;ne-bl-ve-
;;;
producto_100147;Xiaomi - Remi 8A 32GB;xiaomi-8a;ne-az-ro-
producto_100149;Xiaomi - Redmi Note 8 64GB;xiaomi-note8;ne-bl-az-ve-
producto_100150;Xiaomi - Redmi Note 8 128GB;xiaomi-note8;ne-bl-az-ve-
producto_100151;Xiaomi - Redmi Note 8 Pro 64GB;xiaomi-note8pro;ne-bl-az-ve-
producto_100152;Xiaomi - Redmi Note 8 Pro 128GB;xiaomi-note8pro;ne-bl-az-ve-
producto_100210;Xiaomi - Redmi Note 9 64GB;xiaomi-note9;ne-bl-az-ve-
producto_100211;Xiaomi - Redmi Note 9 128GB;xiaomi-note9;ne-bl-az-ve-
producto_100212;Xiaomi - Redmi Note 9s 64GB;xiaomi-note9s;ne-bl-az-ve-
producto_100213;Xiaomi - Redmi Note 9s 128GB;xiaomi-note9s;ne-bl-az-ve-
producto_100214;Xiaomi - Redmi Note 9 Pro 64GB;xiaomi-note9p;ne-bl-az-ve-
producto_100215;Xiaomi - Redmi Note 9 Pro 128GB;xiaomi-note9p;ne-bl-az-ve-
producto_100216;Xiaomi - Redmi Note 10 128GB;xiaomi-note10;ne-bl-ro-
producto_100217;Xiaomi - Redmi Note 10 Lite 128GB;xiaomi-note10lite;ne-bl-ro-
;;;
;;;
producto_200523;Epson - Tinta T504 para Impresora;;ne-am-ci-ma-
producto_200527;Epson - Tinta T664 para Impresora;;ne-am-ci-ma-
producto_200718;Epson - Tinta T544 para Impresora;;ne-am-ci-ma-
producto_200729;Marvo - Silla Gaming;;ne-az-ro-
producto_200458;Havit - Silla Gaming;;ne-az-ro-
;FIN;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
